red_fighter_name,blue_fighter_name,winner,winner_encoded
Luana Pinheiro,Angela Hill,Blue,0
Victor Martinez,Tom Nolan,Blue,0
Oumar Sy,Tuco Tokkos,Red,1
Tamires Vidal,Melissa Gatto,Blue,0
Abus Magomedov,Warlley Alves,Red,1
Piera Rodriguez,Ariane Carnelossi,Blue,0
Alatengheili,Kleydson Rodrigues,Red,1
Vanessa Demopoulos,Emily Ducote,Red,1
Derrick Lewis,Rodrigo Nascimento,Red,1
Joaquin Buckley,Nursulton Ruziboev,Red,1
Alonzo Menifield,Carlos Ulberg,Blue,0
Diego Ferreira,Mateusz Rebecki,Red,1
Alex Caceres,Sean Woodson,Blue,0
Waldo Cortes-Acosta,Robelis Despaigne,Red,1
Chase Hooper,Viacheslav Borshchev,Red,1
Terrance McKinney,Esteban Ribovics,Blue,0
Tabatha Ricci,Tecia Pennington,Red,1
Billy Ray Goff,Trey Waters,Blue,0
Charles Johnson,Jake Hadley,Red,1
JJ Aldrich,Veronica Hardy,Blue,0
Alexandre Pantoja,Steve Erceg,Red,1
Jose Aldo,Jonathan Martinez,Red,1
Anthony Smith,Vitor Petrino,Red,1
Michel Pereira,Ihor Potieria,Red,1
Paul Craig,Caio Borralho,Blue,0
Jack Shore,Joanderson Brito,Blue,0
Karolina Kowalkiewicz,Iasmin Lucindo,Blue,0
Elves Brener,Myktybek Orolbai,Blue,0
Joaquim Silva,Drakkar Klose,Blue,0
Mauricio Ruffy,Jamie Mullarkey,Red,1
Dione Barbosa,Ernesta Kareckaite,Red,1
Ismael Bonfim,Vinc Pichel,Red,1
Alessandro Costa,Kevin Borjas,Red,1
Matheus Nicolau,Alex Perez,Blue,0
Ryan Spann,Bogdan Guskov,Blue,0
Ariane da Silva,Karine Silva,Blue,0
Austen Lane,Jhonata Diniz,Blue,0
Jonathan Pearce,David Onama,Blue,0
Tim Means,Uros Medic,Blue,0
Rani Yahya,Victor Henry,Blue,0
Austin Hubbard,Michal Figlak,Red,1
Don'Tale Mayes,Caio Machado,Red,1
